,title,comb
93,How to Train Your Dragon,Dean DeBlois Gerard Butler America Ferrera Craig Ferguson Adventure Animation Family Fantasy
94,Terminator 3: Rise of the Machines,Jonathan Mostow Nick Stahl M.C. Gainey Carolyn Hennesy Action Sci-Fi
95,Guardians of the Galaxy,James Gunn Bradley Cooper Vin Diesel Djimon Hounsou Action Adventure Sci-Fi
96,Interstellar,Christopher Nolan Matthew McConaughey Anne Hathaway Mackenzie Foy Adventure Drama Sci-Fi
97,Inception,Christopher Nolan Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Action Adventure Sci-Fi Thriller
98,Godzilla Resurgence,Hideaki Anno Mark Chinnery Shin'ya Tsukamoto Atsuko Maeda Action Adventure Drama Horror Sci-Fi
99,The Hobbit: An Unexpected Journey,Peter Jackson Aidan Turner Adam Brown James Nesbitt Adventure Fantasy
100,The Fast and the Furious,Rob Cohen Paul Walker Vin Diesel Jordana Brewster Action Crime Thriller
101,The Curious Case of Benjamin Button,David Fincher Brad Pitt Jason Flemyng Julia Ormond Drama Fantasy Romance
102,X-Men: First Class,Matthew Vaughn Jennifer Lawrence Michael Fassbender Oliver Platt Action Adventure Sci-Fi
103,The Hunger Games: Mockingjay - Part 2,Francis Lawrence Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Adventure Sci-Fi
104,The Sorcerer's Apprentice,Jon Turteltaub Nicolas Cage Omar Benson Miller Robert Capron Action Adventure Family Fantasy
105,Poseidon,Wolfgang Petersen Jimmy Bennett Mike Vogel Andre Braugher Action Adventure Drama Thriller
106,Alice Through the Looking Glass,James Bobin Johnny Depp Alan Rickman Anne Hathaway Adventure Family Fantasy
107,Shrek the Third,Chris Miller Justin Timberlake Eric Idle Rupert Everett Adventure Animation Comedy Family Fantasy
108,Warcraft,Duncan Jones Dominic Cooper Callum Rennie Ruth Negga Action Adventure Fantasy
109,Terminator Genisys,Alan Taylor J.K. Simmons Emilia Clarke Matt Smith Action Adventure Sci-Fi
110,The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted Bruce Spence Shane Rangi Laura Brent Adventure Family Fantasy
111,Pearl Harbor,Michael Bay Jennifer Garner Jaime King Mako Action Drama History Romance War
112,Transformers,Michael Bay Zack Ward Michael O'Neill Kevin Dunn Action Adventure Sci-Fi
113,Alexander,Oliver Stone Anthony Hopkins Angelina Jolie Pitt Brian Blessed Action Adventure Biography Drama History Romance War
114,Harry Potter and the Order of the Phoenix,David Yates Robert Pattinson Daniel Radcliffe Fiona Shaw Adventure Family Fantasy Mystery
115,Harry Potter and the Goblet of Fire,Mike Newell Robert Pattinson Daniel Radcliffe Rupert Grint Adventure Family Fantasy Mystery
116,Hancock,Peter Berg Will Smith Charlize Theron Eddie Marsan Action Drama
117,I Am Legend,Francis Lawrence Will Smith Alice Braga Willow Smith Drama Horror Sci-Fi
118,Charlie and the Chocolate Factory,Tim Burton Johnny Depp Christopher Lee David Kelly Adventure Comedy Family Fantasy
119,Ratatouille,Brad Bird Janeane Garofalo John Ratzenberger Brian Dennehy Animation Comedy Family Fantasy
120,Batman Begins,Christopher Nolan Christian Bale Liam Neeson Morgan Freeman Action Adventure
121,Madagascar: Escape 2 Africa,Eric Darnell Bernie Mac Jada Pinkett Smith Cedric the Entertainer Action Adventure Animation Comedy Family
122,Night at the Museum: Battle of the Smithsonian,Shawn Levy Robin Williams Rami Malek Steve Coogan Adventure Comedy Family Fantasy
123,X-Men Origins: Wolverine,Gavin Hood Hugh Jackman Ryan Reynolds Dominic Monaghan Action Adventure Fantasy Sci-Fi Thriller
124,The Matrix Revolutions,Lana Wachowski Essie Davis Collin Chou Nona Gaye Action Sci-Fi
125,Frozen,Chris Buck Josh Gad Maurice LaMarche Livvy Stubenrauch Adventure Animation Comedy Family Fantasy Musical
126,The Matrix Reloaded,Lana Wachowski Steve Bastoni Daniel Bernhardt Helmut Bakaitis Action Sci-Fi
127,Thor: The Dark World,Alan Taylor Chris Hemsworth Natalie Portman Anthony Hopkins Action Adventure Fantasy
128,Mad Max: Fury Road,George Miller Tom Hardy Charlize Theron Zoë Kravitz Action Adventure Sci-Fi Thriller
129,Angels & Demons,Ron Howard Tom Hanks Ayelet Zurer Armin Mueller-Stahl Mystery Thriller
130,Thor,Kenneth Branagh Chris Hemsworth Natalie Portman Anthony Hopkins Action Adventure Fantasy
131,Bolt,Byron Howard Chloë Grace Moretz Diedrich Bader James Lipton Adventure Animation Comedy Drama Family
132,G-Force,Hoyt Yeatman Kelli Garner Piper Mackenzie Harris Niecy Nash Action Adventure Animation Comedy Family Fantasy Sci-Fi
133,Wrath of the Titans,Jonathan Liebesman Liam Neeson Edgar Ramírez Lily James Action Adventure Fantasy
134,Dark Shadows,Tim Burton Johnny Depp Chloë Grace Moretz Christopher Lee Comedy Fantasy Horror
135,Mission: Impossible - Rogue Nation,Christopher McQuarrie Tom Cruise Jeremy Renner Sean Harris Action Adventure Thriller
136,The Wolfman,Joe Johnston Anthony Hopkins Simon Merrells Art Malik Drama Fantasy Horror Thriller
137,The Legend of Tarzan,David Yates Christoph Waltz Alexander Skarsgård Casper Crump Action Adventure Drama Romance
138,Bee Movie,Steve Hickner Matthew Broderick Oprah Winfrey Rip Torn Adventure Animation Comedy Family
139,Kung Fu Panda 2,Jennifer Yuh Nelson Angelina Jolie Pitt Gary Oldman Mike Bell Action Adventure Animation Comedy Family
140,The Last Airbender,M. Night Shyamalan Seychelle Gabriel Noah Ringer Aasif Mandvi Action Adventure Family Fantasy
141,Mission: Impossible III,J.J. Abrams Philip Seymour Hoffman Tom Cruise Eddie Marsan Action Adventure Thriller
142,White House Down,Roland Emmerich Channing Tatum Jake Weber Matt Craven Action Drama Thriller
143,Mars Needs Moms,Simon Wells Elisabeth Harnois Dan Fogler Tom Everett Scott Action Adventure Animation Comedy Family Sci-Fi
